IG Name,NGTL and/or TMX group,Location,Latitude,Longitude,Watershed Region (comm base),Email,Tag,Project Categories,Information
Indigenous Group 8,TMX only,"PO BOX 369, BOSTON BAR, BC, V0K 1C0",49.83502126028579,-121.4328298,Thompson - Fraser Canyon,ig8@testemail.com,Society and culture,"Biodiversity, Economy and industry, Society and Culture",Salmon stock
Indigenous Group 9,TMX only,"Box 16, Caslan, AB, TOA 0R0",54.63583435,-112.5138019,Athabasca - Peace,ig9@testemail.com,Air,Air,
Indigenous Group 10,NGTL only,"1055 Christian St, Cadotte Lake, AB, T0H 0N0",56.470464589068754,-116.3771412,Athabasca - Peace,ig10@testemail.com,Water,"Water, Air",Water quality monitoring program
Indigenous Group 10,NGTL only,"1055 Christian St, Cadotte Lake, AB, T0H 0N0",56.470464589068754,-116.3771412,Athabasca - Peace,ig10@testemail.com,Air,"Water, Air",Water quality monitoring program
Indigenous Group 11,TMX only,"PO BOX 1030, 100 MILE HOUSE, BC, V0K 2E0",51.64825225060878,-121.2952843,Thompson - Fraser Canyon,ig11@testemail.com,Climate,Climate,Develop different climate scenarios to see impacts
Indigenous Group 12,TMX only,"4-60814 LOUGHEED HIGHWAY, HOPE, BC, V0X 1L3",49.36964915324238,-121.5530701,Lower Fraser - S. Coast,ig12@testemail.com,Biodiversity,Biodiversity,
Indigenous Group 13,TMX only,"52161 Victor Drive, Rosedale, BC, V0X 1X1",49.18943538634271,-121.7841715,Lower Fraser - S. Coast,ig13@testemail.com,Land,Land,Interviews with members to understand historical land use and impacts
Indigenous Group 14,TMX only,"PO BOX 4600, MERRITT, BC, V1K 1B8",50.11122603622711,-120.7881379,Thompson - Fraser Canyon,ig14@testemail.com,Economy and industry,Economy and industry,
Indigenous Group 15,TMX only,"3691 Deer Lane, Spences Bridge, BC, V0K 2L0",50.422265905648665,-121.3455766,Thompson - Fraser Canyon,ig15@testemail.com,Health,Health,Sampling of traditional foods for contaminants
Indigenous Group 16,TMX and NGTL,"PO BOX 30, DRIFTPILE, AB, T0G 0V0",55.34514787561015,-115.7706203,Athabasca - Peace,ig16@testemail.com,Society and culture,Society and culture,Develop system to management cultural knowledge  and data of watershed conditions
Indigenous Group 17,NGTL only,"PO BOX 148, BROWNVALE, AB, T0H 0L0",56.10186134662217,-117.8660139,Athabasca - Peace,ig17@testemail.com,Air,Air,
Indigenous Group 18,TMX and NGTL,"PO Box 1289, High Prairie, AB, T0G 1E0",55.43471474909266,-116.4891413,Athabasca - Peace,ig18@testemail.com,Water,Water,
Indigenous Group 19,TMX and NGTL,"PO BOX 29, ENOCH, AB, T7X 3Y3",53.49632677412798,-113.7419558,N. and S. Sask,ig19@testemail.com,Climate,Climate,
Indigenous Group 20,TMX and NGTL,"PO BOX 219, MASKWACIS, AB, T0C 1N0",52.83562224125585,-113.4466923,N. and S. Sask,ig20@testemail.com,Biodiversity,Biodiversity,
Indigenous Group 21,TMX only,"PO BOX 157, ALKALI LAKE, BC, V0L 1B0",51.78935701421277,-122.2403536,Thompson - Fraser Canyon,ig21@testemail.com,Land,Land,Land changes from past to present
Indigenous Group 22,NGTL only,"107 Kelly Lake Rd, Tomslake, BC, V0C 2L0",55.260885256754484,-120.0340089,Athabasca - Peace,ig22@testemail.com,Economy and industry,Economy and industry,
Indigenous Group 23,NGTL only,"Box 60, Gift Lake, AB, T0G 1B0",55.87655127782464,-115.8049006,Athabasca - Peace,ig23@testemail.com,Health,Health,
Indigenous Group 24,TMX and NGTL,"5600 50 St, Stony Plain, AB, T7Z 1P8",53.52334763724452,-114.0071245,N. and S. Sask,ig24@testemail.com,Society and culture,"Society and culture, Health, Economy and industry",
Indigenous Group 24,TMX and NGTL,"5600 50 St, Stony Plain, AB, T7Z 1P8",53.52334763724452,-114.0071245,N. and S. Sask,ig24@testemail.com,Health,"Society and culture, Health, Economy and industry",
Indigenous Group 24,TMX and NGTL,"5600 50 St, Stony Plain, AB, T7Z 1P8",53.52334763724452,-114.0071245,N. and S. Sask,ig24@testemail.com,Economy and industry,"Society and culture, Health, Economy and industry",
Indigenous Group 25,TMX only,"PO BOX 458, CLINTON, BC, V0K 1K0",51.093873908884646,-121.5863388,Thompson - Fraser Canyon,ig25@testemail.com,Air,Air,
Indigenous Group 26,TMX and NGTL,"PO BOX 303, HYTHE, AB, T0H 2C0",55.32731929868615,-119.5545541,Athabasca - Peace,ig26@testemail.com,Water,Water,
Indigenous Group 27,TMX only,"PO BOX 610, 2693 SIWASH ROAD, LYTTON, BC, V0K 1Z0",50.10974138377958,-121.5542187,Thompson - Fraser Canyon,ig27@testemail.com,Climate,Climate,
Indigenous Group 28,NGTL only,"PO BOX 10, GROUARD, AB, T0G 1C0",55.548051200108375,-116.1538137,Athabasca - Peace,ig28@testemail.com,Biodiversity,Biodiversity,
Indigenous Group 29,TMX only,"10946 KATZIE ROAD, PITT MEADOWS, BC, V3Y 2G6",49.201549145198165,-122.6770254,Lower Fraser - S. Coast,ig29@testemail.com,Land,Land,Mapping of land and examining landscape changes
Indigenous Group 30,NGTL only,"PO BOX 220, KEHEWIN, AB, T0A 1C0",54.11615852031049,-110.8572075,N. and S. Sask,ig30@testemail.com,Economy and industry,Economy and industry,
Indigenous Group 31,NGTL only,"PO Box 66, Tomslake, BC, V0C 2L0",55.55641463507784,-120.0743948,Athabasca - Peace,ig31@testemail.com,Health,Health,
Indigenous Group 32,NGTL only,"PO Box 116, Tomslake, BC, V0C 2L0",55.55641463507784,-120.0743948,Athabasca - Peace,ig32@testemail.com,Society and culture,Society and culture,
Indigenous Group 33,TMX and NGTL,"PO Box 54, Tomslake, BC, V0C 2L0",55.55641463507784,-120.0743948,Athabasca - Peace,ig33@testemail.com,Air,Air,
Indigenous Group 34,TMX only,"General Delivery, Kikino, AB, T0A 2B0",54.44578939771069,-112.1156502,Athabasca - Peace,ig34@testemail.com,Water,Water,
Indigenous Group 35,NGTL only,"220 Cranbrook St N, Cranbrook, BC, V1C 3R2",49.51496835102245,-115.764513,Columbia,ig35@testemail.com,Climate,Climate,
Indigenous Group 36,TMX only,"23690 GABRIEL LANE, PO BOX 108, FORT LANGLEY, BC, V1M 2R4",49.17161063773762,-122.5655754,Lower Fraser - S. Coast,ig36@testemail.com,Biodiversity,Biodiversity,
Indigenous Group 37,TMX only,"7256 CHILLIWACK RIVER ROAD, CHILLIWACK, BC, V2R 4L9",49.13466884430807,-121.9439018,Lower Fraser - S. Coast,ig37@testemail.com,Land,Land,
Indigenous Group 38,TMX only,"2 - 65 COLONY FARM ROAD, COQUITLAM, BC, V3C 5X9",49.230198994684194,-122.8060582,Lower Fraser - S. Coast,ig38@testemail.com,Economy and industry,Economy and industry,
Indigenous Group 39,TMX only,"43101 LEQ'A: MEL WAY, DEROCHE, BC, V0M 1G0",49.20460828775325,-122.0384755,Lower Fraser - S. Coast,ig39@testemail.com,Health,Health,
Indigenous Group 40,TMX only,"1041 WHENUN ROAD, PRINCE GEORGE, BC, V2K 5X8",53.91882384339433,-122.7462961,Upper Fraser,ig40@testemail.com,Society and culture,Society and culture,
Indigenous Group 41,TMX only,"PO BOX 4069, 1515 Arbutus Road, QUESNEL, BC, V2J 3J2",52.95495371538822,-122.4505156,Upper Fraser,ig41@testemail.com,Air,Air,
Indigenous Group 42,TMX only,"1886 Little Shuswap Lake Road, Chase, BC, V0E 1M2",50.87031768,-119.5998,Thompson - Fraser Canyon,ig42@testemail.com,Water,Water,
Indigenous Group 43,TMX and NGTL,"PO BOX 130, MASKWACIS, AB, T0C 1N0",52.87506030379312,-113.5714708,N. and S. Sask,ig43@testemail.com,Climate,Climate,
Indigenous Group 44,TMX only,"181 NAWISHASKIN LANE, MERRITT, BC, V1K 0A7",50.138682560806465,-120.8571561,Thompson - Fraser Canyon,ig44@testemail.com,Biodiversity,Biodiversity,
Indigenous Group 45,TMX only,"517TH AVENUE, PO BOX 100, KEREMEOS, BC, V0X 1N0",49.114173259202296,-119.7235175,Columbia,ig45@testemail.com,Land,Land,
Indigenous Group 46,TMX only,"PO BOX 10, MATSQUI, BC, V4X 3R2",49.10621623230843,-122.3420798,Lower Fraser - S. Coast,ig46@testemail.com,Economy and industry,Economy and industry,
Indigenous Group 47,TMX only,"13401 108 Ave, Surrey, BC, V3T 5T3",49.19945381,-122.8498605,Lower Fraser - S. Coast,ig47@testemail.com,Health,Health,
Indigenous Group 48,TMX and NGTL,"11738 Kingsway NW, Edmonton, AB, T5G 0X5",53.77648677555609,-113.4941019,N. and S. Sask,ig48@testemail.com,Society and culture,Society and culture,
Indigenous Group 49,TMX only,"11724 – 95 St, Edmonton, AB, T5G 1L9",53.56958962762952,-113.4873202,N. and S. Sask,ig49@testemail.com,Air,Air,
Indigenous Group 50,TMX and NGTL,"PO BOX 70, MASKWACIS, AB, TOC 1N0",52.727644997923896,-113.4411286,N. and S. Sask,ig50@testemail.com,Water,Water,
Indigenous Group 51,TMX and NGTL,"PO Box 1468, Grande Cache, AB, T0E 0YO",53.89257179398234,-119.1139336,Athabasca - Peace,ig51@testemail.com,Climate,Climate,
Indigenous Group 52,TMX only,"6735 SALISH DRIVE, VANCOUVER, BC, V6N 4C4",49.225070081606255,-123.1993368,Lower Fraser - S. Coast,ig52@testemail.com,Biodiversity,Biodiversity,
Indigenous Group 53,TMX only,"PO BOX 318, CHASE, BC, V0E 1M0",50.77390146624196,-119.7171378,Thompson - Fraser Canyon,ig53@testemail.com,Land,Land,
Indigenous Group 54,TMX only,"PO BOX 670, LYTTON, BC, V0K 1Z0",50.26494369563489,-121.3983565,Thompson - Fraser Canyon,ig54@testemail.com,Economy and industry,Economy and industry,
Indigenous Group 55,TMX only,"1632 St Georges Rd, Lytton, BC, V0K 1Z0",50.26547664,-121.5988571,Thompson - Fraser Canyon,ig55@testemail.com,Health,Health,
Indigenous Group 56,TMX only,"PO BOX 70, BOSTON BAR, BC, V0K 1C0",49.968489012225675,-121.464153,Thompson - Fraser Canyon,ig56@testemail.com,Society and culture,Society and culture,Transfer of knowledge from elders and knowledge holders to youths of historical and present land uses
Indigenous Group 57,TMX only,"PO BOX 20, LYTTON, BC, V0K 1Z0",50.23756059375638,-121.5769437,Thompson - Fraser Canyon,ig57@testemail.com,Air,Air,
Indigenous Group 58,TMX only,"PO BOX 940, ASHCROFT, BC, V0K 1A0",50.59055659741969,-121.320523,Thompson - Fraser Canyon,ig58@testemail.com,Water,Water,
Indigenous Group 59,TMX only,"PO BOX 548, LYTTON, BC, V0K 1Z0",50.187658220920625,-121.5729132,Thompson - Fraser Canyon,ig59@testemail.com,Climate,Climate,
Indigenous Group 60,TMX only,"2954 SHACKELLY ROAD, MERRITT, BC, V1K 1N9",50.15409291151581,-121.0373965,Thompson - Fraser Canyon,ig60@testemail.com,Biodiversity,Biodiversity,Moose monitoring
Indigenous Group 61,TMX and NGTL,"PO BOX 1570, ROCKY MOUNTAIN HOUSE, AB, T4T 1B2",52.735387265777206,-115.2822247,N. and S. Sask,ig61@testemail.com,Land,Land,
Indigenous Group 62,TMX only,"12420 WESTSIDE RD, VERNON, BC, V1H 2A4",50.356189543744414,-119.3185484,Columbia,ig62@testemail.com,Economy and industry,Economy and industry,
Indigenous Group 63,TMX only,"1155 SEN POK CHIN BLVD, OLIVER, BC, V0H 1T8",49.18396983848572,-119.5329459,Columbia,ig63@testemail.com,Health,Health,
Indigenous Group 64,TMX and NGTL,"4445 Calgary Trail NW, Edmonton, AB, T6H 5W6",53.48264285977904,-113.4943043,N. and S. Sask,ig64@testemail.com,Society and culture,Society and culture,
Indigenous Group 65,TMX and NGTL,"PO BOX 89, DUFFIELD, AB, T0E 0N0",53.55767989598227,-114.3608473,N. and S. Sask,ig65@testemail.com,Air,Air,
Indigenous Group 66,NGTL only,"4806 53 Ave, High Prairie, AB, T0G 1E0",55.433467567263385,-116.4894481,Athabasca - Peace,ig66@testemail.com,Water,Water,
Indigenous Group 67,TMX only,"RR 2 SITE 80 COMP 19, PENTICTON, BC, V2A 6J7",49.49192305,-119.6450719,Columbia,ig67@testemail.com,Climate,Climate,
Indigenous Group 68,TMX only,"16870 PETERS ROAD, HOPE, BC, V0X 1L2",49.305808989219905,-121.6577373,Lower Fraser - S. Coast,ig68@testemail.com,Biodiversity,Biodiversity,Elk monitoring
Indigenous Group 69,NGTL only,"PO BOX 70, BROCKET, AB, T0K 0H0",49.55572349276385,-113.7501384,N. and S. Sask,ig69@testemail.com,Land,Land,
Indigenous Group 70,TMX only,"54951 JULSETH ROAD, POPKUM, BC, V0X 1X1",49.20424877703416,-121.7365432,Lower Fraser - S. Coast,ig70@testemail.com,Economy and industry,Economy and industry,
Indigenous Group 71,TMX and NGTL,"PO BOX 100, SADDLE LAKE, AB, T0A 3T0",53.97986385,-111.6846593,N. and S. Sask,ig71@testemail.com,Health,Health,
Indigenous Group 72,TMX and NGTL,"PO BOX 159, MASKWACIS, AB, TOC 1NO",52.82032267545631,-113.454608,N. and S. Sask,ig72@testemail.com,Society and culture,Society and culture,
Indigenous Group 73,NGTL only,"PO BOX 326, SLAVE LAKE, AB, T0G 2A0",55.283392106304774,-114.7710873,Athabasca - Peace,ig73@testemail.com,Air,Air,
Indigenous Group 74,TMX only,"PO BOX 650, AGASSIZ, BC, V0M 1A0",49.255310636556565,-121.7302651,Lower Fraser - S. Coast,ig74@testemail.com,Water,Water,
Indigenous Group 75,TMX only,"16049 BEACH ROAD, SURREY, BC, V3S 9R6",49.01477492127224,-122.7774721,Lower Fraser - S. Coast,ig75@testemail.com,Climate,Climate,
Indigenous Group 76,TMX only,"PO BOX 1360, 2099 GRANITE AVENUE, MERRITT, BC, V1K 1B8",50.11065477623605,-120.7866865,Thompson - Fraser Canyon,ig76@testemail.com,Biodiversity,Biodiversity,Bear and wolf monitoring
Indigenous Group 77,TMX only,"RR#2, 3A - 492 Arrow Road, INVERMERE, BC, V0A 1K2",50.51701667598316,-116.005843,Columbia,ig77@testemail.com,Land,Land,
Indigenous Group 78,TMX only,"58700A ST. ELMO ROAD, HOPE, BC, V0X 1L2",49.34325831457848,-121.6067337,Lower Fraser - S. Coast,ig78@testemail.com,Economy and industry,Economy and industry,
Indigenous Group 79,NGTL only,"PO BOX 1100, SIKSIKA, AB, T0J 3W0",50.888777071895355,-112.9584463,N. and S. Sask,ig79@testemail.com,Health,Health,
Indigenous Group 80,TMX only,"PO BOX 220, BARRIERE, BC, V0E 1E0",51.31701365070254,-120.1489934,Thompson - Fraser Canyon,ig80@testemail.com,Society and culture,Society and culture,
Indigenous Group 81,TMX only,"PO BOX 519, LYTTON, BC, V0K 1Z0",50.135931247343954,-121.5711338,Thompson - Fraser Canyon,ig81@testemail.com,Air,Air,
Indigenous Group 82,TMX only,"58611A LOUGHEED HWY, AGASSIZ, BC, V0M 1A2",49.35667782984738,-121.606547,Lower Fraser - S. Coast,ig82@testemail.com,Water,Water,
Indigenous Group 83,TMX only,"PO BOX 178, CHILLIWACK, BC, V2P 6H7",49.17771259846748,-121.9716924,Lower Fraser - S. Coast,ig83@testemail.com,Climate,Climate,
Indigenous Group 84,TMX only,"PO BOX 460, ENDERBY, BC, V0E 1V0",50.54205160949247,-119.1384644,Thompson - Fraser Canyon,ig84@testemail.com,Biodiversity,Biodiversity,"Examine the health of riparian and aquatic areas. Focus on plants, trees, animals and any invasive speicies."
Indigenous Group 85,TMX only,"SITE 3, C 11, RR 1, YALE, BC, V0K 2S0",49.66100397913888,-121.4112719,Thompson - Fraser Canyon,ig85@testemail.com,Land,Land,
Indigenous Group 86,TMX only,"PO BOX 76, LAKE ERROCK, BC, V0M 1N0",49.23634784,-121.9996075,Lower Fraser - S. Coast,ig86@testemail.com,Economy and industry,Economy and industry,
Indigenous Group 87,TMX only,"PO BOX 86131, NORTH VANCOUVER, BC, V7L 4J5",49.30779992612033,-123.0213352,Lower Fraser - S. Coast,ig87@testemail.com,Health,Health,
Indigenous Group 88,TMX only,"PO BOX 669, CACHE CREEK, BC, V0K 1H0",50.83962939206848,-121.3789663,Thompson - Fraser Canyon,ig88@testemail.com,Society and culture,Society and culture,
Indigenous Group 89,TMX only,"334 Chief Alex Thomas Way, Kamloops, BC, V2H 1H1",50.678880018137434,-120.2944834,Thompson - Fraser Canyon,ig89@testemail.com,Biodiversity,Biodiversity,Monitoring of various species and impacts from mine operations
Indigenous Group 90,TMX only,"PO BOX 178, SAVONA, BC, V0K 2J0",50.84531342,-120.9526454,Thompson - Fraser Canyon,ig90@testemail.com,Land,Land,
Indigenous Group 91,TMX only,"200 - 330 CHIEF ALEX THOMAS WAY, KAMLOOPS, BC, V2H 1H1",50.678898540170216,-120.2941955,Thompson - Fraser Canyon,ig91@testemail.com,Economy and industry,Economy and industry,
Indigenous Group 92,TMX and NGTL,"PO BOX 40, MORLEY, AB, T0L 1N0",51.170104832318465,-114.8459305,N. and S. Sask,ig92@testemail.com,Health,Health,
Indigenous Group 93,TMX only,"4690 SALISH WAY, CHEHALIS ROAD, AGASSIZ, BC, V0M 1A1",49.29918830429253,-121.9135499,Lower Fraser - S. Coast,ig93@testemail.com,Climate,Climate,
Indigenous Group 94,TMX only,"GENERAL DELIVERY, DOG CREEK, BC, V0L 1J0",51.58918948230132,-122.2113025,Thompson - Fraser Canyon,ig94@testemail.com,Biodiversity,Biodiversity,
Indigenous Group 95,TMX and NGTL,"PO BOX 757, VALLEYVIEW, AB, T0H 3N0",55.06656167296247,-117.5170878,Athabasca - Peace,ig95@testemail.com,Land,Land,
Indigenous Group 96,TMX and NGTL,"PO BOX 65, ENILDA, AB, T0G 0W0",55.405002971290486,-116.1536383,Athabasca - Peace,ig96@testemail.com,Economy and industry,Economy and industry,
Indigenous Group 97,TMX only,"2788 SUMAS MOUNTAIN ROAD, ABBOTSFORD, BC, V3G 2J2",49.05571662843719,-122.1949789,Lower Fraser - S. Coast,ig97@testemail.com,Health,Health,
Indigenous Group 98,TMX and NGTL,"PO BOX 747, ROCKY MOUNTAIN HOUSE, AB, T4T 1A5",52.373216175075996,-114.9154867,N. and S. Sask,ig98@testemail.com,Society and culture,Society and culture,
Indigenous Group 99,TMX and NGTL,"PO BOX 270, KINUSO, AB, T0G 1K0",55.32615735028704,-115.4336172,Athabasca - Peace,ig99@testemail.com,Air,Air,
Indigenous Group 100,TMX only,"PO BOX 80, RISKE CREEK, BC, V0L 1T0",51.92984122688465,-122.5011255,Upper Fraser,ig100@testemail.com,Water,Water,
Indigenous Group 101,TMX only,"7201 Vedder Rd, Chilliwack, BC, V2R 4G5",49.134940864656066,-121.9630933,Lower Fraser - S. Coast,ig101@testemail.com,Climate,Climate,
Indigenous Group 102,TMX only,"7256 CHILLIWACK RIVER ROAD, CHILLIWACK, BC, V2R 4L9",49.15207895062074,-121.9842135,Lower Fraser - S. Coast,ig102@testemail.com,Biodiversity,Biodiversity,
Indigenous Group 103,TMX only,"44680 SCHWEYEY ROAD, CHILLIWACK, BC, V2R 5M5",49.16904909,-121.9883735,Lower Fraser - S. Coast,ig103@testemail.com,Land,Land,
Indigenous Group 104,TMX only,"7256 CHILLIWACK RIVER ROAD, CHILLIWACK, BC, V2R 4L9",49.15207895062074,-121.9842135,Lower Fraser - S. Coast,ig104@testemail.com,Economy and industry,Economy and industry,
Indigenous Group 105,TMX only,"4393 SOOWAHLIE ROAD, CULTUS LAKE, BC, V2R 4Y2",49.08147539805991,-121.9690168,Lower Fraser - S. Coast,ig105@testemail.com,Health,Health,
Indigenous Group 106,TMX only,"45005 SQUIALA ROAD, CHILLIWACK, BC, V2P 7Z9",49.15799510244987,-121.9791338,Lower Fraser - S. Coast,ig106@testemail.com,Land,Land,
Indigenous Group 107,TMX only,"45855 PROMONTORY ROAD, CHILLIWACK, BC, V2R 0H3",49.11186272540069,-121.9524822,Lower Fraser - S. Coast,ig107@testemail.com,Economy and industry,Economy and industry,
Indigenous Group 108,TMX only,"7256 CHILLIWACK RIVER ROAD, CHILLIWACK, BC, V2R 4L9",49.15207895062074,-121.9842135,Lower Fraser - S. Coast,ig108@testemail.com,Land,Land,
Indigenous Group 109,TMX only,"1926 TSAWWASSEN DR. N., DELTA, BC, V4M 4G4",49.03771500307903,-123.0973575,Lower Fraser - S. Coast,ig109@testemail.com,Economy and industry,Economy and industry,
Indigenous Group 110,TMX only,"PO BOX 2200, LILLOOET, BC, V0K 1V0",50.88621824547989,-121.8186936,Thompson - Fraser Canyon,ig110@testemail.com,Land,Land,
Indigenous Group 111,TMX only,"3178 ALDER COURT, NORTH VANCOUVER, BC, V7H 2V6",49.31071977667047,-122.987769,Lower Fraser - S. Coast,ig111@testemail.com,Economy and industry,Economy and industry,
Indigenous Group 112,TMX and NGTL,"200 - 9911 CHIILA BLVD SW, TSUU T'INA, AB, T2W 6H6",50.954082852949114,-114.1307289,N. and S. Sask,ig112@testemail.com,Land,Land,
Indigenous Group 113,TMX only,"66427 KAWKAWA LAKE RD, HOPE, BC, V0X 1L1",49.38430145712196,-121.3926411,Thompson - Fraser Canyon,ig113@testemail.com,Economy and industry,Economy and industry,
Indigenous Group 114,TMX only,"PO BOX 3700, MERRITT, BC, V1K 1B8",50.16191026752969,-120.2715955,Thompson - Fraser Canyon,ig114@testemail.com,Land,Land,
Indigenous Group 115,TMX only,"PO BOX 220, HEDLEY, BC, V0X 1K0",49.480070211240125,-120.4312205,Columbia,ig115@testemail.com,Economy and industry,Economy and industry,
Indigenous Group 116,TMX only,"201-515 HWY 97 SOUTH, KELOWNA, BC, V1Z 3J2",49.88293345883544,-119.5365339,Columbia,ig116@testemail.com,Land,Land,
Indigenous Group 117,TMX only,"615 WHISPERING PINES DRIVE, KAMLOOPS, BC, V2B 8S4",50.98770964505439,-120.2402363,Thompson - Fraser Canyon,ig117@testemail.com,Economy and industry,Economy and industry,
Indigenous Group 118,TMX and NGTL,"PO Box 271, Goodfish Lake, AB, T0A 1R0",54.29807935099825,-111.7916493,N. and S. Sask,ig118@testemail.com,Health,Health,
Indigenous Group 119,NGTL only,"GENERAL DELIVERY, ATIKAMEG, AB, T0G 0C0",55.90640659916406,-115.6391053,Athabasca - Peace,ig119@testemail.com,Society and culture,Society and culture,
Indigenous Group 120,TMX only,"2561 QUIGLI DRIVE, WILLIAMS LAKE, BC, V2G 0B1",52.121060396157716,-122.0161046,Upper Fraser,ig120@testemail.com,Biodiversity,Biodiversity,
Indigenous Group 121,TMX only,"3405 MOUNTAIN HOUSE ROAD, WILLIAMS LAKE, BC, V2G 5L5",52.28053789371344,-122.1445246,Upper Fraser,ig121@testemail.com,Land,Land,
Indigenous Group 122,TMX only,"PO BOX 1869, HOPE, BC, V0X 1L0",49.37805300450674,-121.4398694,Lower Fraser - S. Coast,ig122@testemail.com,Air,Air,
